star,year,award
 William Hurt ,1986,Oscar
 Harrison Ford ,1986,Oscar
 James Garner ,1986,Oscar
 Jack Nicholson ,1986,Oscar
 Jon Voight ,1986,Oscar
 Don Ameche ,1986,Oscar
 Klaus Maria Brandauer ,1986,Oscar
 William Hickey ,1986,Oscar
 Robert Loggia ,1986,Oscar
 Eric Roberts ,1986,Oscar
 Geraldine Page ,1986,Oscar
 Anne Bancroft ,1986,Oscar
 Whoopi Goldberg ,1986,Oscar
 Jessica Lange ,1986,Oscar
 Meryl Streep ,1986,Oscar
 Anjelica Huston ,1986,Oscar
 Margaret Avery ,1986,Oscar
 Amy Madigan ,1986,Oscar
 Meg Tilly ,1986,Oscar
 Oprah Winfrey ,1986,Oscar
 Paul Newman ,1987,Oscar
 Dexter Gordon ,1987,Oscar
 Bob Hoskins ,1987,Oscar
 William Hurt ,1987,Oscar
 James Woods ,1987,Oscar
 Michael Caine ,1987,Oscar
 Tom Berenger ,1987,Oscar
 Willem Dafoe ,1987,Oscar
 Denholm Elliott ,1987,Oscar
 Dennis Hopper ,1987,Oscar
 Marlee Matlin ,1987,Oscar
 Jane Fonda ,1987,Oscar
 Sissy Spacek ,1987,Oscar
 Kathleen Turner ,1987,Oscar
 Sigourney Weaver ,1987,Oscar
 Dianne Wiest ,1987,Oscar
 Tess Harper ,1987,Oscar
 Piper Laurie ,1987,Oscar
 Mary Elizabeth Mastrantonio ,1987,Oscar
 Maggie Smith ,1987,Oscar
 Michael Douglas ,1988,Oscar
 William Hurt ,1988,Oscar
 Marcello Mastroianni ,1988,Oscar
 Jack Nicholson ,1988,Oscar
 Robin Williams ,1988,Oscar
 Sean Connery ,1988,Oscar
 Albert Brooks ,1988,Oscar
 Morgan Freeman ,1988,Oscar
 Vincent Gardenia ,1988,Oscar
 Denzel Washington ,1988,Oscar
 Cher ,1988,Oscar
 Glenn Close ,1988,Oscar
 Holly Hunter ,1988,Oscar
 Sally Kirkland ,1988,Oscar
 Meryl Streep ,1988,Oscar
 Olympia Dukakis ,1988,Oscar
 Norma Aleandro ,1988,Oscar
 Anne Archer ,1988,Oscar
 Anne Ramsey ,1988,Oscar
 Ann Sothern ,1988,Oscar
 Dustin Hoffman ,1989,Oscar
 Gene Hackman ,1989,Oscar
 Tom Hanks ,1989,Oscar
 Edward James Olmos ,1989,Oscar
 Max von Sydow ,1989,Oscar
 Kevin Kline ,1989,Oscar
 Alec Guinness ,1989,Oscar
 Martin Landau ,1989,Oscar
 River Phoenix ,1989,Oscar
 Dean Stockwell ,1989,Oscar
 Jodie Foster ,1989,Oscar
 Glenn Close ,1989,Oscar
 Melanie Griffith ,1989,Oscar
 Meryl Streep ,1989,Oscar
 Sigourney Weaver ,1989,Oscar
 Geena Davis ,1989,Oscar
 Joan Cusack ,1989,Oscar
 Frances McDormand ,1989,Oscar
 Michelle Pfeiffer ,1989,Oscar
 Sigourney Weaver ,1989,Oscar
 Daniel Day Lewis ,1990,Oscar
 Kenneth Branagh ,1990,Oscar
 Tom Cruise ,1990,Oscar
 Morgan Freeman ,1990,Oscar
 Robin Williams ,1990,Oscar
 Denzel Washington ,1990,Oscar
 Danny Aiello ,1990,Oscar
 Dan Aykroyd ,1990,Oscar
 Marlon Brando ,1990,Oscar
 Martin Landau ,1990,Oscar
 Jessica Tandy ,1990,Oscar
 Isabelle Adjani ,1990,Oscar
 Pauline Collins ,1990,Oscar
 Jessica Lange ,1990,Oscar
 Michelle Pfeiffer ,1990,Oscar
 Brenda Fricker ,1990,Oscar
 Anjelica Huston ,1990,Oscar
 Lena Olin ,1990,Oscar
 Julia Roberts ,1990,Oscar
 Dianne Wiest ,1990,Oscar
 Jeremy Irons ,1991,Oscar
 Kevin Costner ,1991,Oscar
 Robert De Niro ,1991,Oscar
 Gerard Depardieu ,1991,Oscar
 Richard Harris ,1991,Oscar
 Joe Pesci ,1991,Oscar
 Bruce Davison ,1991,Oscar
 Andy Garcia ,1991,Oscar
 Graham Greene ,1991,Oscar
 Al Pacino ,1991,Oscar
 Kathy Bates ,1991,Oscar
 Anjelica Huston ,1991,Oscar
 Julia Roberts ,1991,Oscar
 Meryl Streep ,1991,Oscar
 Joanne Woodward ,1991,Oscar
 Whoopi Goldberg ,1991,Oscar
 Annette Bening ,1991,Oscar
 Lorraine Bracco ,1991,Oscar
 Diane Ladd ,1991,Oscar
 Mary McDonnell ,1991,Oscar
 Anthony Hopkins ,1992,Oscar
 Warren Beatty ,1992,Oscar
 Robert De Niro ,1992,Oscar
 Nick Nolte ,1992,Oscar
 Robin Williams ,1992,Oscar
 Jack Palance ,1992,Oscar
 Tommy Lee Jones ,1992,Oscar
 Harvey Keitel ,1992,Oscar
 Ben Kingsley ,1992,Oscar
 Michael Lerner ,1992,Oscar
 Jodie Foster ,1992,Oscar
 Geena Davis ,1992,Oscar
 Laura Dern ,1992,Oscar
 Bette Midler ,1992,Oscar
 Susan Sarandon ,1992,Oscar
 Mercedes Ruehl ,1992,Oscar
 Diane Ladd ,1992,Oscar
 Juliette Lewis ,1992,Oscar
 Kate Nelligan ,1992,Oscar
 Jessica Tandy ,1992,Oscar
 Al Pacino ,1993,Oscar
 Robert Downey Jr. ,1993,Oscar
 Clint Eastwood ,1993,Oscar
 Stephen Rea ,1993,Oscar
 Denzel Washington ,1993,Oscar
 Gene Hackman ,1993,Oscar
 Jaye Davidson ,1993,Oscar
 Jack Nicholson ,1993,Oscar
 Al Pacino ,1993,Oscar
 David Paymer ,1993,Oscar
 Emma Thompson ,1993,Oscar
 Catherine Deneuve ,1993,Oscar
 Mary McDonnell ,1993,Oscar
 Michelle Pfeiffer ,1993,Oscar
 Susan Sarandon ,1993,Oscar
 Marisa Tomei ,1993,Oscar
